Startup Name,Industry,Founder(s),City,Year,Asked Amount (INR),Equity Offered (%),Deal Status,Investor(s),Invested Amount (INR),Equity Taken (%),Valuation (INR)
Startup 218,Finance,Tanya Kapoor,Delhi,2023,52300000,13.25,No,,0,0,394716981
Startup 219,Finance,"Meera Verma, Amit Reddy",Bangalore,2024,86400000,18.81,Yes,"Namita Thapar, Vineeta Singh",74419311,21.33,459330143
Startup 220,E-commerce,"Karan Patel, Ravi Chopra",Pune,2021,50800000,20.02,Yes,,33303835,17.34,253746253
Startup 221,Tech,"Arjun Patel, Rahul Mehta, Rahul Reddy",Bangalore,2025,43400000,20.47,Yes,"Anupam Mittal, Ashneer Grover",36296130,21.68,212017586
Startup 222,Food & Beverage,"Karan Singh, Tanya Verma, Arjun Sharma",Hyderabad,2023,63100000,24.83,No,,0,0,254128070
Startup 223,Food & Beverage,"Nidhi Gupta, Tanya Singh, Sneha Patel",Ahmedabad,2022,14500000,3.61,Yes,,13974167,3.88,401662049
Startup 224,E-commerce,"Nidhi Verma, Ravi Chopra",Hyderabad,2023,81800000,19.45,No,,0,0,420565552
Startup 225,Finance,"Sneha Mehta, Karan Singh",Chennai,2024,88500000,13.87,No,,0,0,638067772
Startup 226,Fashion,"Tanya Reddy, Karan Mehta",Bangalore,2025,46700000,19.79,Yes,"Anupam Mittal, Namita Thapar, Vineeta Singh",39489993,21.25,235977766
Startup 227,Entertainment,"Nidhi Kapoor, Pooja Singh",Hyderabad,2023,96200000,10.69,Yes,"Vineeta Singh, Aman Gupta",79216109,10.7,899906454
Startup 228,Travel,Ravi Kapoor,Chennai,2023,99900000,10.05,No,,0,0,994029850
Startup 229,Travel,"Ravi Verma, Arjun Patel, Arjun Sharma",Ahmedabad,2021,8700000,14.31,Yes,"Ashneer Grover, Vineeta Singh",6156383,16.87,60796645
Startup 230,Education,"Pooja Patel, Pooja Kapoor",Hyderabad,2025,21700000,21.04,No,,0,0,103136882
Startup 231,Entertainment,"Meera Mehta, Ravi Kapoor",Ahmedabad,2025,77800000,14.84,Yes,,59849232,17.45,524258760
Startup 232,Health,"Nidhi Chopra, Rahul Gupta, Sneha Nair",Kolkata,2021,71500000,1.2,Yes,Namita Thapar,53241826,1.37,5958333333
Startup 233,Travel,"Karan Kapoor, Meera Mehta",Delhi,2025,84300000,3.4,No,,0,0,2479411764
Startup 234,Agriculture,"Nidhi Kapoor, Nidhi Reddy, Ravi Nair",Chennai,2021,3000000,10.88,No,,0,0,27573529
Startup 235,Entertainment,Tanya Singh,Delhi,2024,37300000,8.8,No,,0,0,423863636
Startup 236,Agriculture,Karan Singh,Chennai,2023,65600000,23.96,Yes,Aman Gupta,63725589,23.21,273789649
Startup 237,Entertainment,"Karan Sharma, Sneha Mehta, Nidhi Patel",Pune,2021,67800000,7.99,No,,0,0,848560700
Startup 238,Entertainment,"Karan Kapoor, Meera Reddy, Tanya Nair",Kolkata,2022,18100000,5.41,Yes,Peyush Bansal,12681924,5.94,334565619
Startup 239,E-commerce,"Ravi Kapoor, Nidhi Gupta, Ravi Patel",Bangalore,2023,32500000,9.78,No,,0,0,332310838
Startup 240,Food & Beverage,"Amit Verma, Ravi Mehta",Pune,2024,49000000,13.84,No,,0,0,354046242
Startup 241,E-commerce,"Karan Patel, Rahul Chopra",Ahmedabad,2025,27900000,2.9,Yes,,25667543,3.03,962068965
Startup 242,Health,Sneha Mehta,Mumbai,2023,23200000,9.21,No,,0,0,251900108
Startup 243,Fashion,"Amit Sharma, Pooja Chopra",Kolkata,2025,76500000,24.87,Yes,Vineeta Singh,66279841,21.97,307599517
Startup 244,Finance,"Arjun Reddy, Rahul Verma, Ravi Nair",Bangalore,2024,50200000,16.32,Yes,Ghazal Alagh,43507231,19.41,307598039
Startup 245,Education,"Karan Reddy, Amit Mehta, Arjun Singh",Bangalore,2022,81800000,6.83,Yes,,71681386,7.34,1197657393
Startup 246,Food & Beverage,"Sneha Patel, Rahul Gupta",Bangalore,2021,96300000,24.27,Yes,"Ashneer Grover, Peyush Bansal, Vineeta Singh",88267279,20.64,396786155
Startup 247,Education,"Ravi Reddy, Meera Patel",Mumbai,2022,37600000,18.39,No,,0,0,204458945
Startup 248,Health,"Meera Nair, Arjun Nair",Kolkata,2025,59000000,5.48,No,,0,0,1076642335
Startup 249,Travel,"Meera Kapoor, Tanya Nair, Rahul Sharma",Delhi,2023,31200000,20.67,No,,0,0,150943396
Startup 250,Education,"Meera Nair, Rahul Singh, Arjun Reddy",Ahmedabad,2021,12300000,3.31,Yes,Ashneer Grover,11677584,2.92,371601208
Startup 251,Agriculture,Sneha Verma,Ahmedabad,2023,54800000,15.98,No,,0,0,342928660
Startup 252,Health,"Pooja Singh, Sneha Verma",Hyderabad,2023,96000000,22.35,Yes,"Aman Gupta, Namita Thapar, Vineeta Singh",86149533,25.84,429530201
Startup 253,Education,"Rahul Nair, Ravi Chopra, Sneha Singh",Pune,2023,72900000,16.97,Yes,Vineeta Singh,55449407,15.87,429581614
Startup 254,Food & Beverage,"Tanya Gupta, Nidhi Reddy, Ravi Reddy",Pune,2022,79200000,16.2,No,,0,0,488888888
Startup 255,Entertainment,Tanya Nair,Hyderabad,2022,79400000,14.21,No,,0,0,558761435
Startup 256,Food & Beverage,Arjun Reddy,Hyderabad,2025,27200000,20.47,Yes,,22511426,18.16,132877381
Startup 257,Tech,Nidhi Reddy,Ahmedabad,2022,96200000,21.83,Yes,,90407919,25.57,440677966
Startup 258,Finance,Arjun Nair,Mumbai,2021,56200000,14.56,No,,0,0,385989010
Startup 259,E-commerce,"Pooja Mehta, Amit Chopra, Meera Singh",Bangalore,2025,45200000,7.95,No,,0,0,568553459
Startup 260,E-commerce,Meera Chopra,Hyderabad,2025,25800000,2.72,No,,0,0,948529411
Startup 261,Travel,"Tanya Sharma, Sneha Chopra, Karan Reddy",Pune,2025,33800000,9.27,Yes,,22568331,8.71,364617044
Startup 262,Fashion,Nidhi Sharma,Chennai,2023,49200000,1.55,Yes,"Aman Gupta, Namita Thapar, Vineeta Singh",33689706,1.58,3174193548
Startup 263,Fashion,"Meera Singh, Rahul Verma, Karan Singh",Mumbai,2024,18400000,2.44,Yes,,15588220,2,754098360
Startup 264,E-commerce,"Amit Verma, Pooja Nair, Arjun Reddy",Kolkata,2022,77200000,4.77,No,,0,0,1618448637
Startup 265,Travel,"Arjun Patel, Ravi Kapoor",Mumbai,2024,90900000,10.29,Yes,Ashneer Grover,89049872,9.16,883381924
Startup 266,Travel,"Rahul Sharma, Karan Nair",Hyderabad,2022,25600000,14.75,No,,0,0,173559322
Startup 267,Education,Sneha Mehta,Kolkata,2023,71400000,8.8,No,,0,0,811363636
Startup 268,Education,"Karan Verma, Tanya Chopra",Pune,2022,63600000,23.54,Yes,Namita Thapar,49648948,26.62,270178419
Startup 269,Food & Beverage,"Arjun Singh, Amit Nair",Delhi,2023,85900000,16.51,Yes,,55428575,18.35,520290732
Startup 270,E-commerce,Karan Chopra,Pune,2023,3500000,5.29,Yes,Namita Thapar,2226251,4.92,66162570
Startup 271,Food & Beverage,Rahul Mehta,Mumbai,2022,32500000,8.43,No,,0,0,385527876
Startup 272,E-commerce,Tanya Gupta,Hyderabad,2025,61200000,16.83,No,,0,0,363636363
Startup 273,Finance,"Sneha Singh, Tanya Verma",Hyderabad,2024,64400000,16.09,Yes,Aman Gupta,55468412,13.11,400248601
Startup 274,Health,"Tanya Singh, Arjun Reddy, Sneha Verma",Bangalore,2022,19200000,4.87,No,,0,0,394250513
Startup 275,Travel,"Sneha Chopra, Ravi Sharma",Chennai,2023,14700000,3.93,No,,0,0,374045801
Startup 276,Finance,"Nidhi Kapoor, Ravi Singh, Tanya Reddy",Delhi,2023,54200000,18.5,No,,0,0,292972972
Startup 277,Agriculture,Tanya Patel,Chennai,2025,1100000,3.84,No,,0,0,28645833
Startup 278,Tech,"Pooja Singh, Karan Chopra, Amit Reddy",Pune,2025,2100000,16.37,No,,0,0,12828344
Startup 279,Finance,"Tanya Singh, Amit Mehta, Pooja Reddy",Pune,2023,94800000,12.39,Yes,Aman Gupta,75138310,13.02,765133171
Startup 280,E-commerce,"Meera Chopra, Amit Nair",Chennai,2021,57800000,13.86,Yes,,42349350,16.17,417027417
Startup 281,Travel,Rahul Kapoor,Mumbai,2021,39400000,16.04,Yes,Aman Gupta,29779564,16.65,245635910
Startup 282,Fashion,"Nidhi Verma, Arjun Chopra, Sneha Gupta",Hyderabad,2021,47200000,20.91,No,,0,0,225729316
Startup 283,Education,"Arjun Mehta, Sneha Reddy, Amit Patel",Bangalore,2023,52800000,1.6,No,,0,0,3300000000
Startup 284,E-commerce,Pooja Reddy,Kolkata,2024,80400000,8.86,Yes,,78406846,9.49,907449209
Startup 285,Finance,Tanya Singh,Kolkata,2021,32900000,8.98,Yes,,28568652,9.1,366369710
Startup 286,Agriculture,"Rahul Sharma, Meera Sharma, Meera Kapoor",Kolkata,2023,24700000,23.74,Yes,,20915387,27.66,104043807
Startup 287,Finance,Nidhi Reddy,Kolkata,2023,4000000,2.57,Yes,"Ghazal Alagh, Ashneer Grover",2851611,2.41,155642023
Startup 288,Finance,Tanya Patel,Delhi,2023,40300000,2.59,Yes,,33706439,2.88,1555984555
Startup 289,E-commerce,Meera Mehta,Chennai,2022,8100000,15.36,No,,0,0,52734375
Startup 290,Finance,"Tanya Gupta, Pooja Patel, Nidhi Kapoor",Chennai,2022,74500000,24.58,No,,0,0,303091944
Startup 291,Tech,"Amit Singh, Ravi Chopra, Rahul Kapoor",Mumbai,2021,93200000,14.17,Yes,"Ghazal Alagh, Namita Thapar, Aman Gupta",88027319,16.24,657727593
Startup 292,Education,"Tanya Chopra, Nidhi Chopra",Ahmedabad,2022,45500000,14.08,Yes,Vineeta Singh,34299630,16.47,323153409
Startup 293,Food & Beverage,Rahul Chopra,Kolkata,2022,64800000,5.32,No,,0,0,1218045112
Startup 294,Entertainment,Pooja Gupta,Bangalore,2024,63700000,2.27,No,,0,0,2806167400
Startup 295,E-commerce,Meera Gupta,Kolkata,2021,44100000,9.47,No,,0,0,465681098
Startup 296,Fashion,Amit Singh,Chennai,2024,7200000,16.1,Yes,,6210201,14.76,44720496
Startup 297,Fashion,Tanya Kapoor,Chennai,2024,2400000,18.79,Yes,,2149408,19.99,12772751
Startup 298,Agriculture,"Karan Patel, Meera Mehta",Hyderabad,2021,6500000,16.41,Yes,"Anupam Mittal, Ghazal Alagh",4683554,18.03,39609993
Startup 299,E-commerce,Karan Chopra,Kolkata,2024,15800000,13.73,No,,0,0,115076474
Startup 300,Finance,"Arjun Reddy, Arjun Kapoor, Sneha Kapoor",Ahmedabad,2023,80100000,17.21,Yes,"Ghazal Alagh, Ashneer Grover",66922726,15.11,465427077
Startup 301,Travel,"Rahul Reddy, Ravi Verma, Amit Sharma",Mumbai,2022,11000000,13.61,No,,0,0,80822924
Startup 302,Tech,"Ravi Reddy, Nidhi Kapoor, Karan Verma",Bangalore,2021,55700000,21.48,No,,0,0,259310986
Startup 303,Tech,"Arjun Patel, Rahul Nair",Mumbai,2022,68600000,5.58,No,,0,0,1229390681
Startup 304,Tech,"Nidhi Gupta, Sneha Gupta, Pooja Mehta",Mumbai,2025,3500000,18.27,Yes,Ghazal Alagh,2856772,16.86,19157088
Startup 305,Finance,"Sneha Singh, Ravi Mehta",Pune,2025,79200000,2.09,Yes,Namita Thapar,51994381,2.02,3789473684
Startup 306,Travel,"Rahul Gupta, Pooja Singh, Amit Mehta",Bangalore,2022,80600000,4.79,No,,0,0,1682672233
Startup 307,Tech,Amit Mehta,Bangalore,2024,43600000,17.64,No,,0,0,247165532
Startup 308,Food & Beverage,Rahul Kapoor,Kolkata,2022,25400000,23.51,Yes,Namita Thapar,22526739,24.56,108039132
Startup 309,Agriculture,Rahul Verma,Mumbai,2021,30100000,6.03,No,,0,0,499170812
Startup 310,Travel,"Pooja Reddy, Pooja Sharma",Pune,2025,11000000,6.69,No,,0,0,164424514
Startup 311,E-commerce,Karan Nair,Ahmedabad,2023,83900000,20.15,Yes,Aman Gupta,69082822,16.22,416377171
Startup 312,Finance,Rahul Reddy,Chennai,2025,67300000,24.97,Yes,"Ashneer Grover, Peyush Bansal",52743893,25.67,269523428
Startup 313,Entertainment,Meera Gupta,Delhi,2022,19900000,19.96,No,,0,0,99699398
Startup 314,Agriculture,"Amit Sharma, Karan Reddy, Ravi Verma",Chennai,2022,78000000,7.47,Yes,,49325922,8.61,1044176706
Startup 315,Health,"Nidhi Verma, Sneha Chopra, Nidhi Gupta",Mumbai,2021,38500000,5.21,Yes,,35013062,4.46,738963531
Startup 316,Travel,Ravi Sharma,Kolkata,2025,78100000,18.88,Yes,"Vineeta Singh, Peyush Bansal",60072305,15.52,413665254
Startup 317,Travel,"Meera Gupta, Ravi Nair",Bangalore,2023,73600000,13.77,No,,0,0,534495279
Startup 318,Education,"Amit Kapoor, Karan Nair, Rahul Gupta",Pune,2022,46400000,18.71,Yes,Aman Gupta,44020491,16.71,247995724
Startup 319,E-commerce,"Nidhi Chopra, Tanya Reddy, Nidhi Gupta",Kolkata,2023,32100000,14.61,No,,0,0,219712525
Startup 320,Travel,"Rahul Reddy, Meera Nair",Delhi,2024,13400000,23.09,No,,0,0,58033780
Startup 321,Fashion,"Arjun Singh, Rahul Singh",Kolkata,2021,71500000,3.7,No,,0,0,1932432432
Startup 322,Travel,"Tanya Nair, Amit Reddy, Karan Mehta",Ahmedabad,2021,40500000,9.95,No,,0,0,407035175
Startup 323,Travel,"Arjun Gupta, Ravi Sharma",Hyderabad,2023,76900000,24.82,No,,0,0,309830781
Startup 324,E-commerce,"Sneha Singh, Karan Sharma",Mumbai,2022,66400000,22.95,No,,0,0,289324618
Startup 325,Food & Beverage,"Meera Singh, Rahul Patel, Rahul Chopra",Chennai,2023,5300000,20.75,No,,0,0,25542168
Startup 326,Tech,"Arjun Chopra, Rahul Gupta, Pooja Verma",Bangalore,2024,51400000,24.86,Yes,,38277775,24.67,206757843
Startup 327,Finance,"Meera Sharma, Nidhi Nair",Mumbai,2024,17600000,14.96,Yes,"Ashneer Grover, Namita Thapar, Ghazal Alagh",10932333,14.13,117647058
Startup 328,Travel,Arjun Kapoor,Bangalore,2025,79400000,16.07,Yes,,52948236,14.93,494088363
Startup 329,Food & Beverage,"Amit Sharma, Pooja Nair, Meera Reddy",Delhi,2023,69900000,23.99,Yes,"Ghazal Alagh, Ashneer Grover",69377179,23.26,291371404
Startup 330,Travel,"Sneha Chopra, Arjun Gupta",Chennai,2023,24100000,14.29,No,,0,0,168649405
Startup 331,Tech,"Meera Nair, Sneha Sharma",Delhi,2022,42000000,17.68,Yes,,40192784,15.34,237556561
Startup 332,Fashion,"Tanya Singh, Arjun Chopra, Nidhi Gupta",Ahmedabad,2023,53300000,7.69,No,,0,0,693107932
Startup 333,Tech,Arjun Gupta,Kolkata,2025,65300000,23.62,Yes,Ghazal Alagh,40962132,25.3,276460626
Startup 334,Agriculture,Arjun Gupta,Kolkata,2024,56500000,9.25,Yes,,34614126,8.99,610810810
Startup 335,Agriculture,"Rahul Nair, Amit Chopra, Arjun Gupta",Ahmedabad,2021,79400000,24.47,No,,0,0,324478953
Startup 336,Health,Tanya Verma,Delhi,2021,36700000,20.43,Yes,Aman Gupta,31197246,19.45,179637787
Startup 337,Finance,"Nidhi Chopra, Nidhi Verma",Hyderabad,2025,25000000,16.55,Yes, Namita Thapar,15655002,15.26,151057401
Startup 338,Entertainment,"Karan Kapoor, Amit Gupta, Tanya Verma",Pune,2022,59400000,10.37,Yes,"Ashneer Grover, Namita Thapar, Ghazal Alagh",38017346,11.1,572806171
Startup 339,Travel,"Ravi Reddy, Rahul Singh",Chennai,2021,45600000,5.84,Yes,,37133612,5.34,780821917
Startup 340,Travel,Arjun Nair,Chennai,2022,68900000,13.96,Yes,"Vineeta Singh, Ghazal Alagh",53830980,15.43,493553008
Startup 341,Food & Beverage,Ravi Mehta,Kolkata,2025,68600000,24.09,No,,0,0,284765462
Startup 342,Fashion,"Ravi Singh, Karan Singh, Amit Nair",Hyderabad,2021,48300000,4.55,Yes,,43770041,5.18,1061538461
Startup 343,Fashion,"Meera Nair, Karan Chopra",Mumbai,2025,17300000,7.55,Yes,"Peyush Bansal, Vineeta Singh",11597817,8.61,229139072
Startup 344,Agriculture,Amit Sharma,Pune,2024,89700000,2.53,No,,0,0,3545454545
Startup 345,Travel,"Sneha Chopra, Rahul Patel, Sneha Singh",Bangalore,2024,51800000,22.23,Yes,"Peyush Bansal, Vineeta Singh",47100515,20.57,233018443
Startup 346,Entertainment,"Karan Patel, Karan Patel, Rahul Sharma",Delhi,2025,29100000,11.55,No,,0,0,251948051
Startup 347,Education,"Ravi Chopra, Arjun Reddy",Bangalore,2025,88800000,11.62,Yes,,67238492,13.84,764199655
Startup 348,Fashion,"Sneha Patel, Arjun Patel",Delhi,2023,65600000,8.61,No,,0,0,761904761
Startup 349,Health,"Sneha Gupta, Meera Chopra",Pune,2022,90700000,23.05,Yes,,79760933,23.11,393492407
Startup 350,Food & Beverage,Karan Patel,Chennai,2021,59900000,2.97,Yes,"Ghazal Alagh, Peyush Bansal, Ashneer Grover",56233171,3.19,2016835016
Startup 351,Travel,"Meera Mehta, Arjun Mehta",Pune,2024,21300000,3.03,No,,0,0,702970297
Startup 352,Food & Beverage,"Karan Singh, Pooja Verma",Mumbai,2025,93800000,3.14,No,,0,0,2987261146
Startup 353,Education,"Rahul Verma, Karan Singh",Ahmedabad,2024,16200000,3.14,No,,0,0,515923566
Startup 354,Food & Beverage,"Sneha Verma, Ravi Chopra, Meera Gupta",Bangalore,2025,74000000,5.88,No,,0,0,1258503401
Startup 355,Fashion,"Meera Chopra, Rahul Chopra, Pooja Singh",Hyderabad,2024,75400000,17.25,No,,0,0,437101449
Startup 356,Food & Beverage,"Rahul Verma, Arjun Kapoor",Hyderabad,2023,93900000,6.96,No,,0,0,1349137931
Startup 357,Tech,Meera Mehta,Pune,2022,71300000,6.09,No,,0,0,1170771756
Startup 358,Finance,"Tanya Kapoor, Sneha Sharma, Ravi Verma",Mumbai,2021,96300000,6.64,No,,0,0,1450301204
Startup 359,Entertainment,"Tanya Verma, Amit Kapoor, Ravi Singh",Ahmedabad,2024,41400000,17.11,Yes,"Peyush Bansal, Vineeta Singh",34106320,17.66,241963763
Startup 360,Fashion,Ravi Gupta,Pune,2023,14500000,3.15,No,,0,0,460317460
Startup 361,Food & Beverage,"Sneha Reddy, Amit Mehta",Kolkata,2024,77500000,9.65,No,,0,0,803108808
Startup 362,Finance,Meera Verma,Kolkata,2021,73600000,14.46,No,,0,0,508990318
Startup 363,Entertainment,"Tanya Patel, Tanya Verma, Ravi Singh",Delhi,2022,95200000,2.84,No,,0,0,3352112676
Startup 364,Health,"Amit Singh, Meera Reddy",Delhi,2025,89300000,2.17,No,,0,0,4115207373
Startup 365,Fashion,"Tanya Mehta, Nidhi Sharma, Nidhi Nair",Hyderabad,2023,46600000,22.25,No,,0,0,209438202
Startup 366,Fashion,"Tanya Chopra, Sneha Chopra, Nidhi Singh",Delhi,2022,65500000,11.22,Yes,"Ashneer Grover, Namita Thapar, Ghazal Alagh",64799720,12.01,583778966
Startup 367,Food & Beverage,"Ravi Nair, Sneha Kapoor",Kolkata,2022,9100000,22.77,No,,0,0,39964866
Startup 368,Fashion,Rahul Kapoor,Hyderabad,2022,31200000,14.64,Yes,,25127413,14.7,213114754
Startup 369,Finance,Meera Singh,Chennai,2021,27000000,15.05,Yes,"Anupam Mittal, Ashneer Grover, Peyush Bansal",25303426,12.31,179401993
Startup 370,Finance,"Arjun Reddy, Tanya Gupta, Meera Singh",Chennai,2021,99900000,23.03,Yes,Peyush Bansal,99188160,20.81,433782023
Startup 371,Finance,"Tanya Gupta, Arjun Singh, Tanya Reddy",Ahmedabad,2024,9900000,4,Yes,Peyush Bansal,9783260,4.57,247500000
Startup 372,Agriculture,"Meera Verma, Meera Singh",Hyderabad,2025,31100000,14.67,No,,0,0,211997273
Startup 373,Health,"Amit Sharma, Karan Chopra",Kolkata,2024,4700000,12.7,No,,0,0,37007874
Startup 374,E-commerce,"Tanya Gupta, Pooja Verma, Ravi Verma",Ahmedabad,2021,57600000,2.52,No,,0,0,2285714285
Startup 375,Agriculture,Meera Singh,Pune,2023,72400000,11.47,Yes,Anupam Mittal,53397820,10.24,631211857
Startup 376,Education,"Nidhi Singh, Meera Mehta, Arjun Chopra",Ahmedabad,2021,82500000,12.34,Yes,,58821088,13.57,668557536
Startup 377,Agriculture,Rahul Patel,Delhi,2023,11300000,20.04,No,,0,0,56387225
Startup 378,Food & Beverage,Ravi Verma,Bangalore,2021,45000000,3.74,Yes,Anupam Mittal,31640798,3.5,1203208556
Startup 379,Finance,Pooja Gupta,Pune,2024,52700000,5.11,No,,0,0,1031311154
Startup 380,Entertainment,Ravi Kapoor,Ahmedabad,2022,91700000,17.34,No,,0,0,528835063
Startup 381,Travel,"Amit Kapoor, Ravi Singh",Delhi,2022,46600000,16.45,No,,0,0,283282674
Startup 382,Travel,"Karan Patel, Arjun Sharma, Amit Nair",Pune,2022,75200000,18.25,Yes,,61386969,16.16,412054794
Startup 383,E-commerce,"Arjun Nair, Nidhi Mehta, Amit Verma",Chennai,2025,86200000,19.58,No,,0,0,440245148
Startup 384,E-commerce,Amit Reddy,Chennai,2021,13600000,2.15,Yes,"Peyush Bansal, Aman Gupta, Anupam Mittal",10004052,1.92,632558139
Startup 385,Entertainment,"Ravi Singh, Pooja Reddy, Arjun Kapoor",Delhi,2022,54200000,18.7,Yes,"Ashneer Grover, Namita Thapar, Anupam Mittal",34644376,20.28,289839572
Startup 386,Travel,"Arjun Gupta, Amit Mehta",Delhi,2022,5900000,23.48,No,,0,0,25127768
Startup 387,E-commerce,"Sneha Nair, Sneha Patel, Tanya Nair",Mumbai,2025,77800000,12.42,Yes,"Ashneer Grover, Aman Gupta, Namita Thapar",71163879,11.15,626409017
Startup 388,Finance,"Sneha Sharma, Sneha Nair",Delhi,2024,15700000,5.38,Yes,"Peyush Bansal, Ashneer Grover",9789978,6.37,291821561
Startup 389,Fashion,"Sneha Verma, Pooja Patel",Hyderabad,2023,53000000,19.06,No,,0,0,278069254
Startup 390,Entertainment,"Sneha Patel, Ravi Mehta, Arjun Singh",Ahmedabad,2023,9500000,21.31,Yes,Namita Thapar,6240994,21.65,44580009
Startup 391,Food & Beverage,Amit Gupta,Chennai,2024,86900000,17.32,No,,0,0,501732101
Startup 392,Education,"Ravi Kapoor, Amit Mehta, Ravi Singh",Bangalore,2024,10100000,10.49,Yes,Aman Gupta,8989298,12.58,96282173
Startup 393,Finance,Tanya Nair,Pune,2021,66000000,7.27,No,,0,0,907840440
Startup 394,Fashion,Nidhi Reddy,Hyderabad,2023,99200000,15.39,Yes,,64826237,17.99,644574398
Startup 395,Entertainment,"Amit Verma, Rahul Chopra",Kolkata,2022,56100000,2.95,Yes,,53689320,3.32,1901694915
Startup 396,Travel,Sneha Singh,Chennai,2025,24900000,24.52,No,,0,0,101549755
Startup 397,Health,"Meera Singh, Pooja Verma",Hyderabad,2022,12300000,21.88,No,,0,0,56215722
Startup 398,Travel,Tanya Verma,Hyderabad,2022,99000000,2.79,Yes,"Namita Thapar, Aman Gupta",84189389,2.34,3548387096
Startup 399,Tech,Amit Gupta,Mumbai,2024,63500000,16.03,Yes,Vineeta Singh,39425959,18.27,396132252
Startup 400,Travel,"Tanya Nair, Rahul Mehta",Kolkata,2024,62700000,9.23,No,,0,0,679306608
Startup 401,Health,"Tanya Mehta, Amit Patel, Ravi Nair",Mumbai,2022,36200000,5.69,Yes,,24634262,4.71,636203866
Startup 402,Education,"Meera Gupta, Tanya Reddy, Tanya Singh",Pune,2024,43800000,8.89,Yes,Anupam Mittal,30123991,7.13,492688413
Startup 403,Education,"Pooja Gupta, Tanya Patel, Pooja Gupta",Pune,2022,22000000,10.61,Yes,Namita Thapar,13464154,8.98,207351555
Startup 404,Fashion,"Pooja Singh, Nidhi Verma",Mumbai,2025,21200000,7.82,Yes,,18815734,7.32,271099744
Startup 405,Agriculture,Nidhi Reddy,Delhi,2022,90900000,18.06,Yes,Ghazal Alagh,61435351,18.3,503322259
Startup 406,Travel,"Tanya Chopra, Pooja Verma",Hyderabad,2024,81800000,4.57,Yes,"Ghazal Alagh, Ashneer Grover",76941166,5.43,1789934354
Startup 407,Agriculture,"Meera Mehta, Nidhi Reddy, Ravi Gupta",Kolkata,2023,28400000,14.95,Yes,Anupam Mittal,26845591,14.33,189966555
Startup 408,Agriculture,"Nidhi Patel, Tanya Verma, Meera Nair",Pune,2022,47100000,12.22,No,,0,0,385433715
Startup 409,Travel,"Nidhi Kapoor, Karan Verma",Delhi,2023,24900000,7.37,Yes,Namita Thapar,23332329,7.41,337856173
Startup 410,Finance,"Tanya Verma, Meera Nair",Delhi,2022,24300000,6.45,Yes,"Vineeta Singh, Ghazal Alagh, Anupam Mittal",21602800,6.35,376744186
Startup 411,Tech,"Pooja Chopra, Karan Patel",Kolkata,2023,88300000,14.4,No,,0,0,613194444
Startup 412,Food & Beverage,"Rahul Kapoor, Amit Gupta, Nidhi Reddy",Hyderabad,2022,44500000,17.46,No,,0,0,254868270
Startup 413,Education,Karan Kapoor,Hyderabad,2025,30800000,16.83,Yes,"Vineeta Singh, Aman Gupta",20596892,19.25,183006535
Startup 414,Finance,"Rahul Sharma, Rahul Nair",Ahmedabad,2023,77000000,2.65,Yes,Namita Thapar,59511780,2.87,2905660377
Startup 415,Agriculture,Tanya Singh,Chennai,2025,52400000,18.2,No,,0,0,287912087
Startup 416,Agriculture,"Tanya Verma, Sneha Kapoor",Kolkata,2021,72700000,21.22,No,,0,0,342601319
Startup 417,Finance,"Rahul Chopra, Pooja Mehta, Tanya Chopra",Kolkata,2022,94200000,16.82,Yes,Ashneer Grover,89887215,14.52,560047562
Startup 418,E-commerce,"Sneha Patel, Meera Chopra",Bangalore,2021,8800000,19.13,No,,0,0,46001045
Startup 419,Finance,"Rahul Kapoor, Pooja Nair",Mumbai,2023,3700000,2.76,No,,0,0,134057971
Startup 420,Finance,"Karan Patel, Karan Verma",Mumbai,2024,12700000,18.02,Yes,"Anupam Mittal, Ghazal Alagh, Peyush Bansal",7966644,18.37,70477247
Startup 421,Food & Beverage,Amit Kapoor,Delhi,2023,37600000,5.27,Yes,,30565774,5.15,713472485
Startup 422,Tech,Karan Verma,Mumbai,2021,85000000,5.61,Yes,Ghazal Alagh,79403092,5.98,1515151515
Startup 423,Food & Beverage,Karan Nair,Bangalore,2021,34000000,14.49,Yes,"Anupam Mittal, Ghazal Alagh, Peyush Bansal",33106852,13.88,234644582
Startup 424,Finance,Pooja Patel,Bangalore,2021,34100000,5.17,No,,0,0,659574468
Startup 425,Travel,Karan Patel,Kolkata,2025,7700000,16.79,No,,0,0,45860631
Startup 426,Entertainment,"Amit Sharma, Pooja Chopra",Chennai,2023,11400000,18.1,Yes,Vineeta Singh,8319055,19.05,62983425
Startup 427,Finance,"Pooja Nair, Tanya Verma, Pooja Verma",Bangalore,2024,25200000,18.71,Yes,,15724024,17.77,134687332
Startup 428,Travel,Arjun Reddy,Mumbai,2022,67300000,20.51,Yes,"Namita Thapar, Ghazal Alagh, Ashneer Grover",45920605,16.85,328132618
Startup 429,Education,Sneha Mehta,Hyderabad,2025,52900000,2.88,No,,0,0,1836805555
Startup 430,Entertainment,"Pooja Kapoor, Meera Sharma",Pune,2022,39600000,5.03,No,,0,0,787276341
Startup 431,Entertainment,"Rahul Nair, Rahul Kapoor, Karan Gupta",Chennai,2023,30000000,10,No,,0,0,300000000
Startup 432,Agriculture,"Karan Chopra, Nidhi Chopra",Kolkata,2024,66600000,24.7,Yes,Aman Gupta,50211764,25.35,269635627
